Chemical formula,Tolerance factor,Lowest distortion,Stability [eV/atom],Label
AcAgO3,0.76,orthorhombic,-0.06,0
AcAlO3,0.92,cubic,-0.11,0
AcAsO3,0.93,orthorhombic,0.22,0
AcAuO3,0.77,orthorhombic,-0.06,0
AcBO3,1.08,cubic,0.79,0
AcBaO3,0.65,orthorhombic,0.22,0
AcBeO3,0.97,cubic,0.26,0
AcBiO3,0.78,orthorhombic,0.03,0
AcCaO3,0.74,orthorhombic,0.12,0
AcCdO3,0.76,orthorhombic,0.06,0
AcCeO3,0.76,cubic,0.69,0
AcCoO3,0.88,rhombohedral,-0.01,1
AcCrO3,0.90,orthorhombic,-0.11,0
AcCsO3,0.58,tetragonal,0.75,0
AcCuO3,0.86,orthorhombic,-0.08,0
AcDyO3,0.75,orthorhombic,0.00,1
AcErO3,0.78,orthorhombic,-0.01,1
AcEuO3,0.72,orthorhombic,0.11,0
AcFeO3,0.86,orthorhombic,-0.12,0
AcGaO3,0.89,orthorhombic,-0.07,0
AcGdO3,0.76,orthorhombic,0.02,1
AcGeO3,0.88,orthorhombic,0.09,0
AcHfO3,0.85,orthorhombic,0.10,0
AcHgO3,0.71,orthorhombic,0.02,1
AcHoO3,0.78,orthorhombic,0.00,1
AcInO3,0.81,orthorhombic,-0.04,0
AcIrO3,0.88,orthorhombic,0.08,0
AcKO3,0.64,orthorhombic,0.39,0
AcLaO3,0.73,cubic,0.66,0
AcLiO3,0.83,cubic,0.22,0
AcLuO3,0.79,orthorhombic,-0.02,1
AcMgO3,0.84,rhombohedral,0.08,0
AcMnO3,0.89,orthorhombic,-0.12,0
AcMoO3,0.89,orthorhombic,0.12,0
AcNaO3,0.74,cubic,0.54,0
AcNbO3,0.86,orthorhombic,0.08,0
AcNdO3,0.75,cubic,0.57,0
AcNiO3,0.90,orthorhombic,-0.08,0
AcNpO3,0.79,cubic,0.51,0
AcOsO3,0.91,orthorhombic,0.17,0
AcPaO3,0.77,cubic,0.49,0
AcPbO3,0.75,orthorhombic,0.04,0
AcPdO3,0.83,orthorhombic,-0.12,0
AcPmO3,0.75,cubic,0.52,0
AcPrO3,0.77,cubic,0.63,0
AcPtO3,0.86,orthorhombic,0.04,0
AcPuO3,0.80,cubic,0.60,0
AcRbO3,0.61,orthorhombic,0.44,0
AcReO3,0.91,orthorhombic,0.27,0
AcRhO3,0.89,orthorhombic,-0.08,0
AcRuO3,0.89,orthorhombic,0.02,1
AcSbO3,0.86,orthorhombic,0.11,0
AcScO3,0.83,orthorhombic,-0.07,0
AcSiO3,1.00,tetragonal,0.40,0
AcSmO3,0.76,orthorhombic,0.03,0
AcSnO3,0.86,orthorhombic,0.10,0
AcSrO3,0.69,cubic,0.78,0
AcTaO3,0.86,orthorhombic,0.16,0
AcTbO3,0.80,orthorhombic,0.01,1
AcTcO3,0.89,orthorhombic,0.07,0
AcTeO3,0.82,cubic,0.56,0
AcThO3,0.76,cubic,0.62,0
AcTiO3,0.85,orthorhombic,-0.09,0
AcTlO3,0.69,orthorhombic,-0.01,1
AcTmO3,0.76,orthorhombic,-0.02,1
AcUO3,0.79,cubic,0.64,0
AcVO3,0.88,orthorhombic,-0.12,0
AcWO3,0.88,orthorhombic,0.27,0
AcYO3,0.78,orthorhombic,0.00,1
AcYbO3,0.76,orthorhombic,0.10,0
AcZnO3,0.84,orthorhombic,0.03,0
AcZrO3,0.84,orthorhombic,0.07,0
AgAcO3,0.75,orthorhombic,0.28,0
AgAlO3,0.98,orthorhombic,0.24,0
AgAsO3,1.03,tetragonal,0.29,0
