Chemical formula,Radius A [ang],Radius B [ang],Radius O,Tolerance factor,Lowest distortion,a [ang],b [ang],c [ang],Curie Temperature (K)
AcAgO3,1.12,0.95,1.36,0.759144943,orthorhombic,5.779,6.077,8.248,
AcAlO3,1.12,0.54,1.36,0.92296043,cubic,3.858,3.858,3.858,
AcAsO3,1.12,0.52,1.36,0.932779158,orthorhombic,5.78,6.012,8.262,
AcAuO3,1.12,0.93,1.36,0.765775029,orthorhombic,5.899,6.75,7.63,
AcBO3,1.12,0.27,1.36,1.075843446,cubic,3.693,3.693,3.693,
AcBaO3,1.12,1.35,1.36,0.647094029,orthorhombic,6.315,6.356,10.436,
AcBeO3,1.12,0.45,1.36,0.96885349,cubic,3.761,3.761,3.761,
AcBiO3,1.12,0.9,1.36,0.775940185,orthorhombic,6.09,6.415,8.796,
AcCaO3,1.12,1,1.36,0.743061363,orthorhombic,5.994,6.269,8.448,
AcCdO3,1.12,0.95,1.36,0.759144943,orthorhombic,5.84,6.199,8.338,
AcCeO3,1.12,0.94,1.36,0.762445573,cubic,4.581,4.581,4.581,
AcCoO3,1.12,0.63,1.36,0.881218501,rhombohedral,5.522,5.522,5.522,
AcCrO3,1.12,0.58,1.36,0.903930318,orthorhombic,5.594,5.639,7.925,
AcCsO3,1.12,1.67,1.36,0.578754065,tetragonal,4.179,4.179,5.702,
AcCuO3,1.12,0.68,1.36,0.859620009,orthorhombic,5.509,5.528,7.809,
AcDyO3,1.12,0.99,1.36,0.746223327,orthorhombic,5.989,6.176,8.595,
AcErO3,1.12,0.89,1.36,0.779388808,orthorhombic,5.96,6.123,8.521,
AcEuO3,1.12,1.06,1.36,0.724638354,orthorhombic,6.033,6.3,8.784,
AcFeO3,1.12,0.67,1.36,0.86385459,orthorhombic,5.63,5.655,7.97,
AcGaO3,1.12,0.62,1.36,0.8856691,orthorhombic,5.584,5.622,7.895,
AcGdO3,1.12,0.94,1.36,0.762445573,orthorhombic,6.029,6.225,8.673,
AcGeO3,1.12,0.63,1.36,0.881218501,orthorhombic,5.744,5.816,8.154,
AcHfO3,1.12,0.71,1.36,0.847161748,orthorhombic,5.773,5.94,8.324,
AcHgO3,1.12,1.11,1.36,0.709969562,orthorhombic,5.817,6.68,8.231,
AcHoO3,1.12,0.9,1.36,0.775940185,orthorhombic,5.975,6.152,8.551,
AcInO3,1.12,0.8,1.36,0.811863341,orthorhombic,5.857,6.035,8.359,
AcIrO3,1.12,0.63,1.36,0.881218501,orthorhombic,5.616,5.907,8.082,
AcKO3,1.12,1.38,1.36,0.640009057,orthorhombic,6.346,6.434,9.682,
AcLaO3,1.12,1.03,1.36,0.733734233,cubic,4.562,4.562,4.562,
AcLiO3,1.12,0.76,1.36,0.827181518,cubic,3.874,3.874,3.874,
AcLuO3,1.12,0.86,1.36,0.789921089,orthorhombic,5.905,6.047,8.429,
AcMgO3,1.12,0.72,1.36,0.843088854,rhombohedral,5.556,5.556,5.556,
AcMnO3,1.12,0.62,1.36,0.8856691,orthorhombic,5.612,5.655,7.948,
AcMoO3,1.12,0.62,1.36,0.8856691,orthorhombic,5.684,5.914,8.143,
AcNaO3,1.12,1.02,1.36,0.73681715,cubic,4.09,4.09,4.09,
AcNbO3,1.12,0.68,1.36,0.859620009,orthorhombic,5.717,5.966,8.201,
AcNdO3,1.12,0.98,1.36,0.749412315,cubic,4.503,4.503,4.503,
AcNiO3,1.12,0.59,1.36,0.899294778,orthorhombic,5.505,5.522,7.786,
AcNpO3,1.12,0.86,1.36,0.789921089,cubic,4.497,4.497,4.497,
AcOsO3,1.12,0.57,1.36,0.908613895,orthorhombic,5.463,6.091,7.989,
AcPaO3,1.12,0.91,1.36,0.772521946,cubic,4.524,4.524,4.524,
AcPbO3,1.12,0.99,1.36,0.746223327,orthorhombic,6.034,6.377,8.701,
AcPdO3,1.12,0.75,1.36,0.831101809,orthorhombic,5.715,5.924,8.081,
AcPmO3,1.12,0.97,1.36,0.752628677,cubic,4.466,4.466,4.466,
AcPrO3,1.12,0.92,1.36,0.769133692,cubic,4.539,4.539,4.539,
AcPtO3,1.12,0.67,1.36,0.86385459,orthorhombic,5.811,6.177,7.805,
AcPuO3,1.12,0.83,1.36,0.800741926,cubic,4.441,4.441,4.441,
AcRbO3,1.12,1.52,1.36,0.608897506,orthorhombic,5.98,6.089,11.491,
AcReO3,1.12,0.57,1.36,0.908613895,orthorhombic,5.556,5.978,8.046,
AcRhO3,1.12,0.61,1.36,0.890164882,orthorhombic,5.635,5.837,8.046,
AcRuO3,1.12,0.62,1.36,0.8856691,orthorhombic,5.619,5.835,8.029,
AcSbO3,1.12,0.68,1.36,0.859620009,orthorhombic,5.98,6.327,8.621,
AcScO3,1.12,0.75,1.36,0.831101809,orthorhombic,5.782,5.844,8.201,
AcSiO3,1.12,0.4,1.36,0.996377737,tetragonal,3.79,3.79,4.442,
AcSmO3,1.12,0.96,1.36,0.755872766,orthorhombic,6.08,6.293,8.759,
AcSnO3,1.12,0.69,1.36,0.85542674,orthorhombic,5.942,6.208,8.551,
AcSrO3,1.12,1.18,1.36,0.690403471,cubic,4.447,4.447,4.447,
AcTaO3,1.12,0.68,1.36,0.859620009,orthorhombic,5.615,5.983,8.195,
AcTbO3,1.12,0.84,1.36,0.79710219,orthorhombic,6.009,6.201,8.63,
AcTcO3,1.12,0.6,1.36,0.894706539,orthorhombic,5.652,5.84,8.095,
AcTeO3,1.12,0.77,1.36,0.823298036,cubic,4.346,4.346,4.346,
AcThO3,1.12,0.94,1.36,0.762445573,cubic,4.6,4.6,4.6,
AcTiO3,1.12,0.71,1.36,0.847161748,orthorhombic,5.647,5.662,8.007,
AcTlO3,1.12,1.2,1.36,0.685009694,orthorhombic,5.937,6.296,8.547,
AcTmO3,1.12,0.96,1.36,0.755872766,orthorhombic,5.94,6.089,8.494,
AcUO3,1.12,0.85,1.36,0.793495392,cubic,4.466,4.466,4.466,
AcVO3,1.12,0.64,1.36,0.876812409,orthorhombic,5.664,5.684,7.997,
AcWO3,1.12,0.63,1.36,0.881218501,orthorhombic,5.669,5.86,8.07,
AcYO3,1.12,0.9,1.36,0.775940185,orthorhombic,5.993,6.183,8.603,
AcYbO3,1.12,0.95,1.36,0.759144943,orthorhombic,5.937,6.214,8.429,
AcZnO3,1.12,0.74,1.36,0.835059437,orthorhombic,5.587,5.662,7.928,
AcZrO3,1.12,0.72,1.36,0.843088854,orthorhombic,5.84,6.057,8.34,
AgAcO3,1.28,1.12,1.36,0.752726574,orthorhombic,6.008,6.225,8.526,
AgAlO3,1.28,0.54,1.36,0.982506264,orthorhombic,5.094,5.323,7.3,
AgAsO3,1.28,0.46,1.36,1.025693353,tetragonal,3.571,3.571,4.458,
AgAuO3,1.28,0.93,1.36,0.81517987,cubic,4.046,4.046,4.046,
AgBO3,0.75,0.27,1.36,0.915334545,cubic,3.439,3.439,3.439,
AgBaO3,1.28,1.35,1.36,0.68884203,orthorhombic,6.636,6.739,6.99,
AgBeO3,1.28,0.45,1.36,1.031360167,cubic,3.528,3.528,3.528,
AgBiO3,1.28,0.76,1.36,0.880548067,rhombohedral,5.765,5.765,5.765,
AgCaO3,1.28,1,1.36,0.791000806,rhombohedral,5.884,5.884,5.884,
AgCdO3,1.28,0.95,1.36,0.808122036,cubic,4.126,4.126,4.126,
AgCeO3,1.28,0.94,1.36,0.81163561,orthorhombic,5.962,6.115,8.3,
AgCoO3,1.28,0.63,1.36,0.938071308,orthorhombic,5.208,5.302,7.348,
AgCrO3,1.28,0.49,1.36,1.009060488,orthorhombic,5.357,5.401,7.29,
AgCsO3,1.28,1.67,1.36,0.616093037,cubic,4.362,4.362,4.362,
AgCuO3,1.28,0.68,1.36,0.915079364,orthorhombic,5.066,5.322,7.583,
AgDyO3,1.28,0.99,1.36,0.794366767,cubic,4.329,4.329,4.329,
AgErO3,1.28,0.89,1.36,0.829671957,cubic,4.303,4.303,4.303,
AgEuO3,1.28,1.06,1.36,0.771389216,orthorhombic,5.684,5.956,8.268,
AgFeO3,1.28,0.67,1.36,0.919587144,orthorhombic,5.451,5.474,7.225,
AgGaO3,1.28,0.62,1.36,0.942809042,orthorhombic,5.13,5.419,7.628,
AgGdO3,1.28,0.94,1.36,0.81163561,cubic,4.373,4.373,4.373,
AgGeO3,1.28,0.63,1.36,0.938071308,orthorhombic,5.325,5.343,7.31,
AgHfO3,1.28,0.71,1.36,0.901817344,orthorhombic,5.376,5.735,7.951,
AgHgO3,1.28,1.11,1.36,0.75577405,cubic,4.156,4.156,4.156,
AgHoO3,1.28,0.9,1.36,0.826000842,cubic,4.308,4.308,4.308,
AgInO3,1.28,0.8,1.36,0.864241621,cubic,4.141,4.141,4.141,
AgIrO3,1.28,0.57,1.36,0.967234146,rhombohedral,5.367,5.367,5.367,
AgKO3,1.28,1.38,1.36,0.681299964,cubic,4.327,4.327,4.327,
AgLaO3,1.28,1.03,1.36,0.781071926,orthorhombic,5.835,6.067,8.48,
AgLiO3,1.28,0.76,1.36,0.880548067,cubic,3.635,3.635,3.635,
AgLuO3,1.28,0.86,1.36,0.84088374,cubic,4.252,4.252,4.252,
AgMgO3,1.28,0.72,1.36,0.897481684,cubic,3.865,3.865,3.865,
AgMnO3,1.28,0.62,1.36,0.942809042,orthorhombic,5.328,5.333,7.356,
AgMoO3,1.28,0.61,1.36,0.947594874,cubic,3.911,3.911,3.911,
AgNaO3,1.28,1.02,1.36,0.78435374,cubic,4.03,4.03,4.03,
AgNbO3,1.28,0.64,1.36,0.933380951,rhombohedral,5.611,5.611,5.611,553
AgNdO3,1.28,0.98,1.36,0.797761497,cubic,4.453,4.453,4.453,
AgNiO3,1.28,0.59,1.36,0.957313796,orthorhombic,5.118,5.377,7.41,
AgNpO3,1.28,0.86,1.36,0.84088374,orthorhombic,5.694,6.003,8.356,
AgOsO3,1.28,0.57,1.36,0.967234146,rhombohedral,5.379,5.379,5.379,
AgPaO3,1.28,0.91,1.36,0.822362072,rhombohedral,6.043,6.043,6.043,
AgPbO3,1.28,0.99,1.36,0.794366767,orthorhombic,5.484,5.809,8.382,
AgPdO3,1.28,0.75,1.36,0.884721281,orthorhombic,5.3,5.526,7.719,
AgPmO3,1.28,0.97,1.36,0.801185366,cubic,4.426,4.426,4.426,
AgPrO3,1.28,0.92,1.36,0.81875522,orthorhombic,5.914,6.088,8.241,
AgPtO3,1.28,0.67,1.36,0.919587144,orthorhombic,5.39,5.527,7.702,
AgPuO3,1.28,0.83,1.36,0.852402695,orthorhombic,5.67,5.99,8.343,
AgRbO3,1.28,1.52,1.36,0.648181216,cubic,4.318,4.318,4.318,
AgReO3,1.28,0.58,1.36,0.962248403,cubic,3.889,3.889,3.889,
