Names,Length,Type,Extracted Value,Extracted Units,Normalised Value,Normalised Units,Confidence ,Authors,DOI,Journal,Title,_id,        
"[""AgSbO3""]",10,Curie,280,°C,553,K,,"[""Bomlai, Pornsuda"",""Muensit, Nantakan"",""Milne, Steven J.""]",10.1016/j.ceramint.2012.10.049,Ceramics International,Structural and electrical properties of Na0.47K0.47Li0.06NbO3 lead-free piezoelectric ceramics modified by AgSbO3 ,ObjectId(5a16cb85d6183a5a71050b74),
"[""BaCO3""]",9,Curie,98,K,98,K,,"[""Yamamoto, Ayako"",""Hu, Wei-Zhi"",""Izumi, Fujio"",""Tajima, Setsuko""]",10.1016/S0921-4534(00)01641-5,Physica C: Superconductivity,Superconducting and structural properties of nearly carbonate-free HgBa2CuO4+δ ,ObjectId(5a230078d6183a3105f2654b),
"[""BaFeO3""]",10,Curie,250,K,250,K,,"[""Noura, Hamdad""]",10.1016/j.spmi.2014.10.004,Superlattices and Microstructures,"GGA+U–DFT+U modeling structural, electronic and magnetic properties investigation on the ferromagnetic and anti-ferromagnetic BaFeO3 characteristics: Insights from First-principle calculation ",ObjectId(5a19fea9d6183a1812613aa4),
"[""BaRuO3""]",10,Curie,164,K,164,K,,"[""Zhao, J.G."",""Yang, L.X."",""Yu, Y."",""Li, F.Y."",""Yu, R.C."",""Fang, Z."",""Chen, L.C."",""Jin, C.Q.""]",10.1016/j.jssc.2007.07.031,Journal of Solid State Chemistry,Structural and physical properties of the 6H BaRuO3 polymorph synthesized under high pressure ,ObjectId(5a1421ffd6183a65535a018d),
"[""BaSnO3""]",10,Curie,31–33,°C,304.0-306.0,K,,"[""Cernea, Marin"",""Trusca, Roxana"",""Radu, Roxana"",""Valsangiacom, Cristina""]",10.1016/j.jallcom.2011.07.101,Journal of Alloys and Compounds,Ba(Ti1−xSnx)O3 (x=0.13) nanomaterials produced by low-temperature aqueous synthesis ,ObjectId(5a13a74ad6183a1b67afee43),
"[""BiMO3""]",9,Curie,105,K,105,K,,"[""P. Mandal"",""A. Iyo"",""Y. Tanaka"",""A. Sundaresan"",""C. N. R. Rao"",""P. Mandal"",""A. Iyo"",""Y. Tanaka"",""A. Sundaresan"",""C. N. R. Rao""]",10.1039/b914350p,Journal of Materials Chemistry,"Structure, magnetism and giant dielectric constant of BiCr0.5Mn0.5O3 synthesized at high pressures",ObjectId(5a0aeed8d6183a247a493223),
"[""BiScO3""]",10,Curie,450,°C,723,K,,"[""A. Zeb"",""S. J. Milne""]",10.1007/s10854-015-3707-7,Journal of Materials Science: Materials in Electronics,High temperature dielectric ceramics: a review of temperature-stable high-permittivity perovskites,ObjectId(5a0b3de9d6183a247a4934c6),
"[""BiYbO3""]",10,Curie,~485,°C,~758.0,K,,"[""Ma, Jiafeng"",""Liu, Xinyu"",""Zhou, Changrong"",""Yuan, Changlai"",""Li, Wenhua"",""Jiang, Minhong""]",10.1016/j.ceramint.2013.10.010,Ceramics International,"Enhancement of the dielectric, piezoelectric, and ferroelectric properties in BiYbO3-modified (Ba0.85Ca0.15)(Ti0.9Zr0.1)O3 lead-free ceramics ",ObjectId(5a1964e8d6183a1812613522),
"[""BiYO3""]",9,Curie,650,°C,923,K,,"[""Yao, Mouteng"",""Pu, Yongping"",""Gao, Ziyan"",""Zheng, Hanyu""]",10.1016/j.ceramint.2016.03.226,Ceramics International,"Low-temperature sintering, structure transition and dielectrical properties of Ba0.85Ca0.15Ti0.9Zr0.1O3 with Na0.5Bi0.5TiO3 addition ",ObjectId(5a0f36a5d6183a12beff1bbb),
"[""CaRuO3""]",10,Curie,105,K,105,K,,"[""Cao, G"",""Song, W.H"",""Sun, Y.P"",""Lin, X.N""]",10.1016/j.ssc.2004.03.001,Solid State Communications,"Violation of the Mott–Ioffe–Regel limit: high-temperature resistivity of itinerant magnets Srn+1RunO3n+1 (n=2,3,∞) and CaRuO3 ",ObjectId(5a13e4c3d6183a1b67aff042),
"[""CaTiO3""]",10,Curie,314,°C,587,K,,"[""D. Q. Xiao"",""J. G. Wu"",""L. Wu"",""J. G. Zhu"",""P. Yu"",""D. M. Lin"",""Y. W. Liao"",""Y. Sun""]",10.1007/s10853-009-3543-3,Journal of Materials Science,Investigation on the composition design and properties study of perovskite lead-free piezoelectric ceramics,ObjectId(5a0b1c44d6183a247a49339c),
"[""CaZrO3""]",10,Curie,~200,°C,~473.0,K,,"[""Jiagang Wu"",""Dingquan Xiao"",""Jianguo Zhu""]",10.1007/s10854-015-3084-2,Journal of Materials Science: Materials in Electronics,Potassium–sodium niobate lead-free piezoelectric ceramics: recent advances and perspectives,ObjectId(5a0c8376d6183a6210e12e7c),
"[""CuSeO3""]",10,Curie,26,K,26,K,,"[""Seshadri, Ram""]",10.1016/j.cossms.2006.03.002,Current Opinion in Solid State and Materials Science,Zinc oxide-based diluted magnetic semiconductors ,ObjectId(5a130424d6183a1b67afe83c),
"[""EuMnO3""]",10,Curie,36,K,36,K,,"[""E. Sagar"",""N. Pavan Kumar"",""Jian Zhu"",""Yemin Hu"",""P. Venugopal Reddy""]",10.1007/s10948-014-2580-6,Journal of Superconductivity and Novel Magnetism,Investigation of Magnetocaloric Behavior of Sr-Doped EuMnO3,ObjectId(5a0bad27d6183a247a4937df),
"[""FeTiO3""]",10,Curie,1000,K,1000,K,,"[""Mona, J."",""Kale, S.N."",""Gaikwad, A.B."",""Murugan, A.Vadivel"",""Ravi, V.""]",10.1016/j.matlet.2005.11.041,Materials Letters,Chemical methods to synthesize FeTiO3 powders ,ObjectId(5a12ef0dd6183a1b67afe764),
"[""GdCo3""]",9,Curie,615,K,615,K,,"[""Kwiecień, Marzena"",""Chełkowska, Grażyna"",""Rabijasz, Katarzyna""]",10.1016/j.jallcom.2005.12.032,Journal of Alloys and Compounds,"Electronic structure, magnetic and electric properties of Gd(Ni1−xCox)3 compounds ",ObjectId(5a13959ad6183a1b67afedba),
"[""GdTiO3""]",10,Curie,30,K,30,K,,"[""Moetakef, Pouya"",""Ouellette, Daniel G."",""Zhang, Jack Y."",""Cain, Tyler A."",""Allen, S. James"",""Stemmer, Susanne""]",10.1016/j.jcrysgro.2012.06.052,Journal of Crystal Growth,Growth and properties of GdTiO3 films prepared by hybrid molecular beam epitaxy ,ObjectId(5a15d29fd6183a0acdc0d1c8),
