,Formula,eV
60,AcAlO3,0
58,AcBO3,0.792297946
435,AcCrO3,0
430,AcCuO3,0
429,AcFeO3,0
59,AcGaO3,0
66,AcMgO3,0.079125394
432,AcMnO3,0
65,AcNiO3,0
67,AcPdO3,0.006137824
69,AcScO3,0.024208861
68,AcSiO3,0.470082296
433,AcTiO3,0
73,AcVO3,0
47,AgAsO3,0
300,AgAsO3,0.027230941
393,AgAsO3,0.039310858
348,AgAuO3,0.436016295
403,AgAuO3,0.058022658
221,AgBiO3,0.04705924
394,AgBiO3,0.025329552
415,AgBO3,0.082991913
446,AgBO3,1.035293502
46,AgBrO3,0
45,AgClO3,0.06310919
223,AgClO3,0.008953113
390,AgClO3,0.001733053
408,AgClO3,0.018699822
351,AgCO3,0.000336473
48,AgGeO3,0.084305179
379,AgGeO3,0.110514123
413,AgGeO3,0.086137609
414,AgGeO3,0.090491178
148,AgIO3,0.010857695
222,AgIO3,0
424,AgIO3,0.027178189
286,AgNO3,0
326,AgNO3,0.001868097
332,AgNO3,0.004543829
422,AgNO3,0.030785983
44,AgPbO3,0.103925418
404,AgPdO3,0.458041644
181,AgPO3,0
391,AgPO3,0.045326058
406,AgRuO3,0.05600767
271,AgSbO3,0.007582714
279,AgSbO3,0
338,AgSbO3,0.059966301
436,AgSbO3,0.043859745
367,AgSnO3,0.089799539
299,AgTeO3,0.020078865
303,AgTeO3,0
312,AgTeO3,0.019716078
74,AlAgO3,0.333418376
168,AlAgO3,0.139881729
471,AlAgO3,1.632893526
478,AlAgO3,0.518591707
483,AlAgO3,0.278745364
491,AlAgO3,0.164013659
71,AlAuO3,0.538697418
218,AlBiO3,0.120592523
285,AlBiO3,0.052553169
392,AlBiO3,0.078057885
460,AlBiO3,0.864620094
472,AlBiO3,1.665498175
484,AlBiO3,0.517143224
489,AlBiO3,0.234563717
420,AlBO3,0.030434987
50,AlCoO3,0.045627271
164,AlCoO3,0.241868835
375,AlCoO3,0.082705435
410,AlCoO3,0.096364037
456,AlCoO3,1.298379723
458,AlCoO3,0.255072469
476,AlCoO3,0.194435029
486,AlCoO3,0.271538341
166,AlCrO3,0.34359409
461,AlCrO3,0.359816859
467,AlCrO3,0.171438324
473,AlCrO3,1.33549757
52,AlCuO3,0.109015929
167,AlCuO3,0.157858775
407,AlCuO3,0.076841492
470,AlCuO3,1.279493314
475,AlCuO3,0.169835219
480,AlCuO3,0.191661399
51,AlFeO3,0.020699279
169,AlFeO3,0.495552616
170,AlFeO3,0.220249268
172,AlFeO3,0.219799276
208,AlFeO3,0.02891244
402,AlFeO3,0.081578936
455,AlFeO3,1.390130036
459,AlFeO3,0.251347158
373,AlGaO3,0.107923339
388,AlGaO3,0.028800921
389,AlGaO3,0.02800687
